PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,Depto1,grupo
-2.1173989586095363,0.8149905643092226,-0.7976069298899625,2.8309276570889272,-1.2526274233457932,1.148548150068172,0.1814509579508114,0.058179587820446854,Amazonas,7.0
7.000748974309228,1.2663953062645597,-1.4496487546526813,0.9281615800040787,-1.2753541393519736,-0.9652504994784822,-0.5393826004016253,-0.27933777095301493,Antioquia,3.0
-0.6969805081804177,-0.44485655602861035,-0.9455513795502377,-0.42599782537052605,0.371558852875358,0.8465243406123346,-0.540374962887259,-0.285105063605786,Arauca,2.0
1.4016969282062857,-0.2491252834676301,-0.05803190803499497,-0.25998660713638977,0.3136160918727676,0.4949646121400628,0.2634785043791581,0.17397033155969543,Atlántico,4.0
0.08075045046520962,1.9309957547742194,0.6182659252101874,-2.049972064106065,-1.5837435126850203,1.4517321577047804,0.2235477038214998,-0.011977965063789965,Bolivar,5.0
0.5947523123944838,-0.14593270949195186,-1.0483120323801935,-0.32313741236778937,0.09372148128624883,0.6667551108155706,-0.08271979927386867,0.23223184497404228,Boyacá,2.0
0.4230023843339441,-0.9105102535396284,0.5506595572968088,-0.11268147083957403,0.44455407653464596,0.34816922766232566,-0.534148364198188,0.1979939580089441,Caldas,4.0
-0.7289869371232174,-1.040377967858636,0.14653010553429482,-0.1729475677675451,0.11402384208919472,0.12743009110592707,-0.29535731936938464,-0.04368394390667383,Caquetá,2.0
-1.1996573620158504,1.1779049780208979,-0.6964588827099245,-0.4424875242221436,1.5779379430601106,-0.9381795654204405,-0.18452724630414846,-0.10189375081857295,Casanare,1.0
0.704712956686436,-0.01821975177796519,-0.11956600731903996,-0.30269116740311547,0.44148295447098324,0.13292797982105187,0.31903085421461497,-0.44876464982390935,Cauca,2.0
0.7986991742477904,-1.0148147921712067,0.9595284215897645,-0.06952888645243917,0.345983845341378,0.1710312302942041,-0.1805327536328414,0.4908861667816783,Cesar,4.0
-0.5037972710016351,-1.0885420143048172,0.46984386654565696,-0.21606600583746904,-0.02389380849167,0.06844681889267974,0.20890376388547446,-0.3015153660272475,Chocó,2.0
-0.4241031827020806,1.3179018370832214,2.6387587637042746,-1.648574589399355,-1.270016461795637,0.06735981935266637,-0.05335038992356426,-0.020745794550807703,Córdoba,5.0
-2.6294256902865154,3.864842913864841,0.21001747389854805,0.052992876924160735,-0.6933459397366201,-0.8771360165137906,-0.48376496647563344,0.057724960852781344,Guainia,7.0
-1.4029491712773652,-0.032149081701560646,-1.0654072267864017,-0.3555120285765969,0.3854358194807445,-0.15790155513059786,-0.24105782539061743,0.005903827032396929,Guaviare,2.0
-0.2346735197742924,0.5691080868017369,1.7885867019121846,3.1176655784103415,0.4251134388742487,0.8491046969286224,0.13644414190713106,0.04295236782940268,Huila,7.0
-0.21395653635822048,-0.35355795235744325,-0.45685460701466685,-0.45330026461579026,0.33866298893904645,0.5627646597353256,0.2460856529858956,-0.2519064300999161,La Guajira,2.0
-0.006757990568891955,1.8507155265611945,-0.3329210953401973,-0.43217900921164165,1.8628871863676217,-1.437431901826709,0.5191300827901713,0.24898072293890594,Magdalena,1.0
-0.7336114339799026,1.2829130718706465,0.23179863501676848,1.201157527997932,1.2806975502689455,0.07671416756175532,0.08595412899568926,-0.2321314769913723,Meta,7.0
1.0020641949183848,-0.23655652093311963,-0.6563089819370511,-0.2636698117335764,-0.058450192054474236,0.45508492376664805,0.3867243488952047,-0.08853721897042366,Nariño,0.0
0.9765389333616917,-0.09087917533508937,-0.8125103567457156,-0.39378803564256765,0.4708019610508784,0.9794473758214934,-0.24755973263759712,0.7349004885595721,Norte De Santander,2.0
-1.431942913204586,-0.1866364826119563,-1.8864837328582051,-0.2503700298285903,-0.6162510168835741,-0.3774688838851407,0.3188300918572286,0.1840671879369906,Putumayo,0.0
-0.3171161447166976,-0.39938054418273405,-0.8348876044248434,-0.436650544313889,0.530118353709597,0.9664335606191022,-0.48276593902539394,-0.10994080726568985,Quindío,2.0
-0.040262995279215924,-1.1642726716555265,0.9227983082514997,-0.12394808636910352,0.4913121146240794,0.28520923538119136,-0.4610111917997452,-0.3651515241368884,Risaralda,4.0
-1.550525087128145,-1.5634647890647089,0.2429010858251942,0.19866109509334662,-0.837629187268985,-0.9996216335399657,-0.22368481292567358,-0.10091071547047456,"San Andrés, Providencia Y Santa Catalina",6.0
1.4443453792346523,-0.39907907886272953,1.2652594458233617,0.047140071194752955,0.530445248441448,-0.6445260986786743,0.20043073907410097,0.1891192656272404,Santander,4.0
0.08292775554607548,-0.38932192373460667,-0.8706483501017082,-0.36979928927135963,-0.4065336020574693,0.2229608153131931,1.1099230260308122,-0.149906974218264,Sucre,0.0
0.24378479430710182,-0.6088922745662118,1.3018736841065524,-0.13478644062166317,0.8474484210523673,-0.3808292216244117,0.056899923545278695,-0.21269796192670506,Tolima,4.0
3.3746644041323397,-0.6074780866563912,1.0965320935042395,0.3868225695529931,-0.4173764190612261,-0.6089421369798096,0.3293439569125872,0.1787589817299472,Valle Del Cauca,4.0
-2.016178425344385,-1.5584143981617742,-0.48404053313737516,0.2661560869425395,-1.2089059523019756,-1.2730240426916748,0.032131062444397715,0.1403757918623217,Vaupés,6.0
-1.8803645145926664,-1.5733057310862388,0.07188431466386253,0.2083896178781147,-1.2216745153052484,-1.2612974178274072,-0.06807103544451529,0.06816193031517138,Vichada,6.0
